Entry,Name,Description,Object,Legend
hsa04151,PI3K-Akt signaling pathway,The phosphatidylinositol 3' -kinase(PI3K)-Akt signaling pathway is activated by many types of cellul...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00533 (Nitric oxide) C04637 (1-Phosphatidyl-D-myo...",PIP eIF4E 4EBPs eIF4B S6K1/2 Raptor mTOR GβL Rheb TSC2 TSC1 AKT PDK1 PI3K p53 signaling pathway mTOR...
hsa04152,AMPK signaling pathway,AMP-activated protein kinase (AMPK) is a serine threonine kinase that is highly conserved through ev...,"C00031 (D-Glucose) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00008 (ADP) C00020 (AMP) C0000...",AMPK INS Glucose INSR Akt P13K PDK1/2 IRS PIP AMPK SIGNALING PATHWAY Glycolysis / Gluconeogenesis ...
hsa04210,Apoptosis,Apoptosis is a genetically programmed process for the elimination of damaged or redundant cells by a...,"C00076 (Calcium cation) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00319 (Sphingosine) C0002...",Mitochondrion p53 signaling pathway TNF signaling pathway Bcl-XL ICAD ATM p53 ENDO-G AIF Bcl-2 IAP/X...
hsa04211,Longevity regulating pathway,"Regulation of longevity depends on genetic and environmental factors. Caloric restriction (CR), that...","C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00575 (3',5'-Cyclic AMP) C03582 (Resveratrol) C07...",FOXO S6K mTOR Akt P13K PIP LONGEVITY REGULATING PATHWAY DNA IGF-I IGF-IR IRS1-4 Ras cAMP PKA AMPK ...
hsa04213,Longevity regulating pathway - multiple species,"Aging is a complex process of accumulation of molecular, cellular, and organ damage, leading to loss...","C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) ...",FOXO S6K mTOR Akt P13K PIP LONGEVITY REGULATING PATHWAY - MULTIPLE SPECIES DNA IGF-I IGF-IR IRS1...
hsa04215,Apoptosis - multiple species,Apoptosis is an evolutionarily conserved process used by multicellular organisms to developmentally ...,79444 (BIRC7) 840 (CASP7) 317 (APAF1) 666 (BOK) 54205 (CYCS) 842 (CASP9) 840 (CASP7) 836 (CASP3) 329...,APOPTOSIS - MULTIPLE SPECIES Mitochondrion DIAP1 DRONC DRICE GRIM RPR HID dArk Dcp-1 DEBCL RHG fa...
hsa04216,Ferroptosis,Ferroptosis is a regulated form of cell death and characterized by a production of reactive oxygen s...,C00025 (L-Glutamate) C00491 (L-Cystine) C00051 (Glutathione) C21478 (Erastin) C00097 (L-Cysteine) C0...,FERROPTOSIS SLC7A11 Glutamate Cystine p53 GPX4 GSH Mitochondria VDAC2/3 Erastin Cysteine GCL γGC SLC...
hsa04217,Necroptosis,"Necroptosis is a programmed form of necrosis. It can be initiated by different stimuli, such as tumo...","C00076 (Calcium cation) C00305 (Magnesium cation) C00002 (ATP) C00027 (Hydrogen peroxide), C16844 (H...",NECROPTOSIS TNF TNFR1 TRADD TRAF2/5 MLKL TLR4 IFNR LPS IFN JAKs TRAILR TRAIL Fas FasL IAPs Casp8 cFL...
hsa04218,Cellular senescence,Cellular senescence is a state of irreversible cellular arrest and can be triggered by a number of f...,"C16844 (Hydroxyl radical), C00027 (Hydrogen peroxide) C07909 (Sirolimus) C00076 (Calcium cation) C16...",CELLULAR SENESCENCE NORE1A PP1A C-Myc HIPK2 ARF MDM2 p53 P53 signaling pathway PI3K AKT TSC1/2 RHEB...
hsa04260,Cardiac muscle contraction,Contraction of the heart is a complex process initiated by the electrical excitation of cardiac myoc...,C00076 (Calcium cation) C00076 (Calcium cation) C00076 (Calcium cation) C00076 (Calcium cation) C013...,CARDIAC MUSCLE CONTRACTION T-tubule Sarcoplasmic Reticulum (SR) DHPR RyR2 NCX NCX Systole Diastole...
hsa04261,Adrenergic signaling in cardiomyocytes,Cardiac myocytes express at least six subtypes of adrenergic receptor (AR) which include three subty...,C00076 (Calcium cation) C00076 (Calcium cation) C00076 (Calcium cation) C01330 (Sodium cation) C0133...,ADRENERGIC SIGNALING IN CARDIOMYOCYTES T-tubule Sarcoplasmic Reticulum (SR) DHPR RyR2 NCX NCX SER...
hsa04270,Vascular smooth muscle contraction,The vascular smooth muscle cell (VSMC) is a highly specialized cell whose principal function is cont...,"C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00165 (Diacylglycerol) C00076 (Calcium cation) C00219 (...",Calcium signaling pathway MLCK MLC MLCP ROCK PKC RhoA RhoGEF VASCULAR SMOOTH MUSCLE CONTRACTION A...
hsa04310,Wnt signaling pathway,"Wnt proteins are secreted morphogens that are required for basic developmental processes, such as ce...","C00076 (Calcium cation) 4088 (SMAD3) 4772 (NFATC1), 4773 (NFATC2), 4775 (NFATC3), 4776 (NFATC4) 5578...",p53 signaling pathway Adherens junction SMAD3 TGF-β signaling pathway Cell cycle WNT SIGNALING PAT...
hsa04330,Notch signaling pathway,"The Notch signaling pathway is an evolutionarily conserved, intercellular signaling mechanism essent...","C22528 (Notch intracellular domain) 23385 (NCSTN) 51107 (APH1A), 83464 (APH1B) 5663 (PSEN1), 5664 (P...",NCSTN APH-1 PSEN MAPK signaling pathway HDAC CIR Gro/TLE CtBP Hairless SMRT PreTα Hes1/5 CSL SKIP HA...
hsa04340,Hedgehog signaling pathway,"The Hedgehog (Hh) signaling pathway has numerous roles in the control of cell proliferation, tissue ...","C00575 (3',5'-Cyclic AMP) 6608 (SMO) 23432 (GPR161) 102800317 (TPTEP2-CSNK1E), 122011 (CSNK1A1L), 14...",Smo Gpr161 cAMP CK1 GSK3β PKA Gli Kif7 GliR Cilium Cytoplasm Without Hh Vesicle Cul1 β-TrCP Nucleus ...
hsa04350,TGF-beta signaling pathway,"The transforming growth factor-beta (TGF-beta) family members, which include TGF-betas, activins and...",C14819 (Fe3+) 4052 (LTBP1) 7057 (THBS1) 8454 (CUL1) 9978 (RBX1) 4089 (SMAD4) 4089 (SMAD4) 92 (ACVR2A...,LTBP1 THBS1 Cul1 Rbx1 TGF-BETA SIGNALING PATHWAY Apoptosis Cell Cycle Ubiquitin mediated proteolys...
hsa04360,Axon guidance,Axon guidance represents a key stage in the formation of neuronal network. Axons are guided by a var...,C00076 (Calcium cation) C00076 (Calcium cation) C00076 (Calcium cation) C00076 (Calcium cation) 5085...,Par6 Par3 CXCR4 ERK Rac Rac Rac DCC NFAT CaN Netrin-G1 Netrin-4 Slit3 Slit2 Slit1 FAK Cdc42 ROCK PAK...
hsa04370,VEGF signaling pathway,There is now much evidence that VEGFR-2 is the major mediator of VEGF-driven responses in endothelia...,"C00533 (Nitric oxide) C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00165 (Di...",Cdc42 DAG Calcium signaling pathway Focal adhesion MAPK signaling pathway VEGFR2 PLCγ SPK PIP PGI CO...
hsa04371,Apelin signaling pathway,"Apelin is an endogenous peptide capable of binding the apelin receptor (APJ), which was originally d...","C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C01330 (Sodium cation) C00080 (H...",APELIN SIGNALING PATHWAY APJ AMPK Sphk1 PAI-1 PI3K Akt MEK1/2 ERK1/2 P70S6K PLCβ IP3 IP3R RyR mTOR...
hsa04380,Osteoclast differentiation,"The osteoclasts, multinucleared cells originating from the hematopoietic monocyte-macrophage lineage...","C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00027 (Hydrogen peroxide) 1436 ...",OSTEOCLAST DIFFERENTIATION c-Fms TRAF2/6 RANK RANKL M-CSF OPG CYLD Gab2 NIK IKKα IKKγ IKKα IKKβ IκB...
hsa04390,Hippo signaling pathway,Hippo signaling is an evolutionarily conserved signaling pathway that controls organ size from flies...,"23286 (WWC1) 4771 (NF2) 122786 (FRMD6), 79981 (FRMD1) 60485 (SAV1) 6788 (STK3) 10413 (YAP1), 25937 (...",HIPPO SIGNALING PATHWAY KIBRA Mer FRMD SAV1 Mst1/2 YAP/TAZ Lats1/2 Crb α-Catenin RASSF1A CTGF Bir...
hsa04392,Hippo signaling pathway - multiple species,"Hippo signaling pathways control diverse aspects of cell proliferation, survival, and morphogenesis ...","23286 (WWC1) 4771 (NF2) 122786 (FRMD6), 79981 (FRMD1) 60485 (SAV1) 6788 (STK3) 10413 (YAP1), 25937 (...",HIPPO SIGNALING PATHWAY - MULTIPLE SPECIES Kibra NF2 FRMD SAV1 Mst1/2 YAP/TAZ Lats1/2 DNA Mob1...
hsa04510,Focal adhesion,Cell-matrix adhesions play essential roles in important biological processes including cell motility...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C04637 (1-Phosphatidyl-D-myo-inositol 4,5-bisphosp...",ECM-receptor interaction Cytokine-cytokine receptor interaction MAPK signaling pathway ITGB ITGA Fil...
hsa04512,ECM-receptor interaction,The extracellular matrix (ECM) consists of a complex mixture of structural and functional macromolec...,"G10505 (Hyaluronic acid) G10505 (Hyaluronic acid) 10319 (LAMC3), 22798 (LAMB4), 284217 (LAMA1), 3908...",Laminin Laminin Laminin Laminin Laminin Laminin Laminin Laminin Laminin Laminin Collagen Collagen Co...
hsa04514,Cell adhesion molecules,Cell adhesion molecules (CAMs) are (glyco)proteins expressed on the cell surface and play a critical...,"214 (ALCAM) 923 (CD6) 6693 (SPN) 6614 (SIGLEC1) 5788 (PTPRC) 933 (CD22) 925 (CD8A), 926 (CD8B), 927 ...",TCR TCR TCR TCR Leukocyte transendothelial migration Leukocyte transendothelial migration T cell rec...
hsa04520,Adherens junction,"Cell-cell adherens junctions (AJs), the most common type of intercellular adhesions, are important f...","4089 (SMAD4) 999 (CDH1) 1495 (CTNNA1), 1496 (CTNNA2), 29119 (CTNNA3) 1500 (CTNND1) 1500 (CTNND1) 999...",Smad4 E-Cadherin α-Catenin p120ctn p120ctn E-Cadherin E-Cadherin E-Cadherin TCF/LEF NLK TAK1 CBP Sma...
hsa04530,Tight junction,Tight junctions (TJs) are essential for establishing a selectively permeable barrier to diffusion th...,"C00076 (Calcium cation) 50855 (PARD6A), 84552 (PARD6G), 84612 (PARD6B) 10207 (PATJ) 998 (CDC42) 6794...",PAR6 PATJ Cdc42 TIGHT JUNCTION Inside Paracellular space LKB1 Cingulin Tiam1 Decreased paracellul...
hsa04540,Gap junction,Gap junctions contain intercellular channels that allow direct communication between the cytosolic c...,"C00681 (1-Acyl-sn-glycerol 3-phosphate) C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trispho...",LPA v-Src cGMP DAG cAMP CK1 PKC Serotonin Glutamate Connexin Connexin Connexin Connexin Connexin Con...
hsa04550,Signaling pathways regulating pluripotency of stem cells,Pluripotent stem cells (PSCs) are basic cells with an indefinite self-renewal capacity and the poten...,"51384 (WNT16), 54361 (WNT4), 7471 (WNT1), 7472 (WNT2), 7473 (WNT3), 7474 (WNT5A), 7475 (WNT6), 7476 ...",Wnt APC Axin Dvl Frizzled SIGNALING PATHWAYS REGULATING PLURIPOTENCY OF STEM CELLS β-catenin G...
hsa04610,Complement and coagulation cascades,"The complement system is a proteolytic cascade in blood plasma and a mediator of innate immunity, a ...",C00471 (Plasmin) C03378 (Coagulation factor VIIa) C03379 (Coagulation factor XIIa) C03262 (Coagulati...,COMPLEMENT AND COAGULATION CASCADES Plasmin Coagulation cascade Extrinsic pathway Tissue damage F...
hsa04611,Platelet activation,Platelets play a key and beneficial role for primary hemostasis on the disruption of the integrity o...,"C00575 (3',5'-Cyclic AMP) C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00165...",PLATELET ACTIVATION cAMP DAG Calcium signaling pathway Platelet PAR1/4 P2Y1 ADP TXA2 PLCβ GP VI α2...
hsa04612,Antigen processing and presentation,,"972 (CD74) 972 (CD74) 3108 (HLA-DMA), 3109 (HLA-DMB), 3111 (HLA-DOA), 3112 (HLA-DOB), 3113 (HLA-DPA1...",CLIP SLIP HLA-DM NFY RFX CREB CIITA CTSB/L/S AEP CTSB AEP GILT TCR TCR CD4 KIR CD8 TAPBP CALR ERp57 ...
hsa04613,Neutrophil extracellular trap formation,Neutrophils play a central role in innate immune defense. One of the mechanisms of neutrophil action...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00165...",Neutrophil FcγRIIA FcγRI Src Syk IgG PI3K PIP PLC DAG PKC Raf1 MEK ERK1/2 Akt NOD-like receptor sign...
hsa04614,Renin-angiotensin system,The renin-angiotensin system (RAS) is a peptidergic system with endocrine characteristics regarding ...,C02135 (Angiotensin II) C15849 (Angiotensin IV) C15848 (Angiotensin III) C15850 (Angiotensin (1-7)) ...,ACE2 ACE2 ACE ACE ACE Angiotensin II Angiotensin IV Angiotensin III Angiotensin (1-7) Angiotensin (1...
hsa04620,Toll-like receptor signaling pathway,Specific families of pattern recognition receptors are responsible for detecting microbial pathogens...,3456 (IFNB1) 1147 (CHUK) 7189 (TRAF6) 3654 (IRAK1) 51135 (IRAK4) 4615 (MYD88) 4615 (MYD88) 4615 (MYD...,IFN-β IKKα TRAF6 IRAK1 IRAK4 MyD88 MyD88 MyD88 TRAF6 ERK Tpl2 p105 OPN TRAF3 RIP1 IRF7 IRF5 I-TAC I...
hsa04621,NOD-like receptor signaling pathway,Specific families of pattern recognition receptors are responsible for detecting various pathogens a...,"C00238 (Potassium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00002...",ASC pro-CASP1 ASC pro-CASP1 ASC pro-CASP1 ASC pro-CASP1 NOD1 NOD2 iE-DAP RIP2 IKKα/β TAK1 TAB NLRP1 ...
hsa04622,RIG-I-like receptor signaling pathway,Specific families of pattern recognition receptors are responsible for detecting viral pathogens and...,C00046 (RNA) C00046 (RNA) 23586 (RIGI) 64135 (IFIH1) 7706 (TRIM25) 54941 (RNF125) 57506 (MAVS) 4790 ...,RIG-I MDA5 TRIM25 RNF125 IPS-1 NFκB DUBA TRAF3 IRF-3 IKKε IRF-7 TANK NAP1 SINTBAD homo/heterodimer f...
hsa04623,Cytosolic DNA-sensing pathway,Specific families of pattern recognition receptors are responsible for detecting foreign DNA from in...,C20640 (Cyclic GMP-AMP) C00039 (DNA) 3553 (IL1B) 3606 (IL18) 81030 (ZBP1) 29110 (TBK1) 9641 (IKBKE) ...,IL-1β IL-18 p202 Cell death ZBP1 TBK1 IKKε/ι IRF3 Oligomerization IFNβ IRF7 IFNα CXCL10 IPS1 STING N...
hsa04625,C-type lectin receptor signaling pathway,C-type lectin receptors (CLRs) are a large superfamily of proteins characterized by the presence of ...,"C00965 (1,3-beta-D-Glucan) C00159 (D-Mannose) C01019 (L-Fucose) C00159 (D-Mannose) C01245 (D-myo-Ino...",C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY Dectin-1 Dectin-2 Mincle MCL FcRγ DC-SIGN LSP-1 KSR1 CN...
hsa04630,JAK-STAT signaling pathway,The Janus kinase/signal transducers and activators of transcription (JAK/STAT) pathway is one of a h...,"6772 (STAT1), 6774 (STAT3), 6776 (STAT5A), 6777 (STAT5B), 6778 (STAT6) 3716 (JAK1), 3718 (JAK3) 3559...",JAK-STAT SIGNALING PATHWAY STAT JAK1/3 Receptor STAT IL2 family STAT JAK2 Receptor STAT Hormone ST...
hsa04640,Hematopoietic cell lineage,"Blood-cell development progresses from a hematopoietic stem cell (HSC), which can undergo either sel...","102723407 (IGH) 3655 (ITGA6), 3672 (ITGA1), 3673 (ITGA2), 3675 (ITGA3), 3676 (ITGA4), 3678 (ITGA5) 2...",IgM CD49 CD42 CD41 CD14 CD9 CD61 IL-11R CD59 CD55 CD35 CD44 CD235a CD36 CD36 CD117 EPOR CD125 CD114 ...
hsa04650,Natural killer cell mediated cytotoxicity,Natural killer (NK) cells are lymphocytes of the innate immune system that are involved in early def...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00165 (Diacylglycerol) C00076 (Calcium cation) C0...","IgG NFAT CaN PI(3,4,5)P Fyn TRAIL IFNγR PLCγ LAT Perforin HLA-E IFN-γ GM-CSF TNF-α PKC 3BP2 PLCγ LAT..."
hsa04657,IL-17 signaling pathway,"The interleukin 17 (IL-17) family, a subset of cytokines consisting of IL-17A-F, plays crucial roles...",3551 (IKBKB) 6885 (MAP3K7) 1147 (CHUK) 7189 (TRAF6) 3569 (IL6) 257397 (TAB3) 23118 (TAB2) 4792 (NFKB...,IKKβ TAK1 IKKα TRAF6 IL-6 TAB3 TAB2 IκBα IKKγ IL-17 SIGNALING PATHWAY MAPKsignaling pathway Monocy...
hsa04658,Th1 and Th2 cell differentiation,Immunity to different classes of microorganisms is orchestrated by separate lineages of effector T h...,"C00165 (Diacylglycerol) C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) 3458 (IF...",DAG IFN-γ IL-5 IκB NFκB IKK PKCθ NFAT CaN ZAP70 CD3ε CD3δ TCRβ TCRα CD3ζ CD3ζ CD3γ CD3ε Cell adhesio...
hsa04659,Th17 cell differentiation,Interleukin (IL)-17-producing helper T (Th17) cells serve as a subset of CD4+ T cells involved in ep...,"C00165 (Diacylglycerol) C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00777 (...",DAG IκB NFκB IKK PKCθ NFAT CaN ZAP70 TCRβ TCRα Cell adhesion molecules Th17 CELL DIFFERENTIATIO...
hsa04660,T cell receptor signaling pathway,Activation of T lymphocytes is a key event for an efficient response of the immune system. It requir...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00165 (Diacylglycerol) C00076 (Calcium cation) C0...",PIP DAG CDK4 TNFα GM-CSF IFN-γ IL-10 IL-5 IL-4 IL-2 IκB NFκB IKKβ IKKγ IKKα NIK COT AKT MALT1 BCL-10...
hsa04662,B cell receptor signaling pathway,B cells are an important component of adaptive immunity. They produce and secrete millions of differ...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00165 (Diacylglycerol) C00076 (Calcium cation) C0...",PIP DAG IκB NFκB IKKβ IKKγ IKKα GSK3β MALT1 BCL-10 CARMA1 AKT PKCβ VAV PI3K CD21 CD19 CD81 LEU13 SHI...
hsa04664,Fc epsilon RI signaling pathway,Fc epsilon RI-mediated signaling pathways in mast cells are initiated by the interaction of antigen ...,C00696 (Prostaglandin D2) C05952 (Leukotriene E4) C05951 (Leukotriene D4) C02166 (Leukotriene C4) C0...,IgE IgE FcεRIγ FcεRIβ FcεRIα PGD LTE LTD LTC Arachidonic acid Heparin Histamine DAG FcεRIβ FcεRIα Fy...
hsa04666,Fc gamma R-mediated phagocytosis,Phagocytosis plays an essential role in host-defense mechanisms through the uptake and destruction o...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00165...",Macrophage Monocyte Neutrophil FcγRIIIA FcγRIIB FcγRIIA FcγRI Src Syk CD45 IgG PI3K SHIP LAT PIP PLC...
hsa04668,TNF signaling pathway,"Tumor necrosis factor (TNF), as a critical cytokine, can induce a wide range of intracellular signal...","7124 (TNF) 7132 (TNFRSF1A) 8717 (TRADD) 7186 (TRAF2), 7188 (TRAF5) 8737 (RIPK1) 329 (BIRC2), 330 (BI...",TNF SIGNALING PATHWAY TNF TNFR1 TRADD TRAF2/5 RIP1 cIAP1/2 TAK1 MKK4/7 MKK3/6 p38 JNK1/2 IKKγ IKK...
hsa04670,Leukocyte transendothelial migration,Leukocyte migaration from the blood into tissues is vital for immune surveillance and inflammation. ...,"C00027 (Hydrogen peroxide) C00076 (Calcium cation) C00076 (Calcium cation) C00575 (3',5'-Cyclic AMP)...",CAMs MMPs CAMs SHP-2 CDH5 CD99 PECAM1 ITGB2 p120ctn p130 AF-6 SPA-1 PECAM1 JAM1 ITGAL CDH5 SHP-2 CD9...
hsa04672,Intestinal immune network for IgA production,The intestine is the largest lymphoid tissue in the body. One striking feature of intestinal immunit...,"C00777 (Retinoate), C15493 (9-cis-Retinoic acid) 7040 (TGFB1) 3567 (IL5) 3569 (IL6) 8741 (TNFSF13) 1...",TGFβ Gut lumen M cell Antigen processing and presentation T cell receptor signaling pathway B c...
hsa04710,Circadian rhythm,"Circadian rhythm is an internal biological clock, which enables to sustain an approximately 24-hour ...","C00076 (Calcium cation) C00575 (3',5'-Cyclic AMP) 1407 (CRY1), 1408 (CRY2) 5187 (PER1), 8863 (PER3),...",CIRCADIAN RHYTHM CRY PER CKlε/δ BMAL1 CLOCK CRY PER CKlε/δ DNA CRY PER DBP REV-ERB CRY PER SCF β-T...
hsa04713,Circadian entrainment,Circadian entrainment is a fundamental property by which the period of the internal biological clock...,"C00076 (Calcium cation) C00533 (Nitric oxide) C00942 (3',5'-Cyclic GMP) C00165 (Diacylglycerol) C015...",CIRCADIAN ENTRAINMENT NMDAR CaM CaMKII nNOS cGMP PKG PLC DAG PKC Melatonin T-VDCC RyR Postsynaptic ...
hsa04714,Thermogenesis,"Thermogenesis is essential for warm-blooded animals, ensuring normal cellular and physiological func...","C00547 (L-Noradrenaline) C00575 (3',5'-Cyclic AMP) C00040 (Acyl-CoA) C00942 (3',5'-Cyclic GMP) C0000...",THERMOGENESIS CREB PKA p38 β3-AR ATF2 cAMP Acyl-CoA FGF21 UCP1 PGC-1α Mitochondrion Nucleus UCP1 Sec...
hsa04720,Long-term potentiation,"Hippocampal long-term potentiation (LTP), a long-lasting increase in synaptic efficacy, is the molec...","C00305 (Magnesium cation) C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C01330...",PKC CaMKIV CBP DAG cAMP CaMKII Glutamate CaN CaM Rsk CREB NMDAR PKA VDCC PP1 AC1/8 AMPAR EPAC1 ERK1/...
hsa04721,Synaptic vesicle cycle,Communication between neurons is mediated by the release of neurotransmitter from synaptic vesicles ...,"C00076 (Calcium cation) C00080 (H+) C00080 (H+) C03758 (Dopamine), C01996 (Acetylcholine), C00334 (4...",SYNAPTIC VESICLE CYCLE Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) VGCC Glutamatergic...
hsa04722,Neurotrophin signaling pathway,Neurotrophins are a family of trophic factors involved in differentiation and survival of neural cel...,"C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00195 (...",Plasticity Cell survival TrkA TrkB TrkC Apoptosis BDNF NT4 NT3 Cellular differentiation PI3K PLCγ D...
hsa04723,Retrograde endocannabinoid signaling,Endogenous cannabinoids (endocannabinoids) serve as retrograde messengers at synapses in various reg...,"C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00165 (Diacylglycerol) C00076 (Calcium cation) C00076 (...",RETROGRADE ENDOCANNABINOID SIGNALING Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) vGLU...
hsa04724,Glutamatergic synapse,Glutamate is the major excitatory neurotransmitter in the mammalian central nervous system(CNS). Glu...,C00025 (L-Glutamate) C00064 (L-Glutamine) C00064 (L-Glutamine) C00025 (L-Glutamate) C00025 (L-Glutam...,GLUTAMATERGIC SYNAPSE Glial cell Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) mGluR7/8 ...
hsa04725,Cholinergic synapse,"Acetylcholine (ACh) is a neurotransmitter widely distributed in the central (and also peripheral, au...","C00024 (Acetyl-CoA) C01996 (Acetylcholine) C01996 (Acetylcholine) C00575 (3',5'-Cyclic AMP) C01245 (...",CHOLINERGIC SYNAPSE Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) nAChR AChE vAChT AcCoA...
hsa04726,Serotonergic synapse,"Serotonin (5-Hydroxytryptamine, 5-HT) is a monoamine neurotransmitter that plays important roles in ...","C00643 (5-Hydroxy-L-tryptophan) C00780 (Serotonin) C00780 (Serotonin) C00575 (3',5'-Cyclic AMP) C012...","SEROTONERGIC SYNAPSE Glial cell Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) 5-HT 4, 6..."
hsa04727,GABAergic synapse,Gamma aminobutyric acid (GABA) is the most abundant inhibitory neurotransmitter in the mammalian cen...,C00025 (L-Glutamate) C00334 (4-Aminobutanoate) C00334 (4-Aminobutanoate) C00334 (4-Aminobutanoate) C...,GABAERGIC SYNAPSE Glial cell Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) GABA GAT2/3 V...
hsa04728,Dopaminergic synapse,"Dopamine (DA) is an important and prototypical slow neurotransmitter in the mammalian brain, where i...","C03758 (Dopamine) C00355 (3,4-Dihydroxy-L-phenylalanine) C03758 (Dopamine) C03758 (Dopamine) C00575 ...",DOPAMINERGIC SYNAPSE Glial cell Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) DAT VMAT ...
hsa04730,Long-term depression,"Cerebellar long-term depression (LTD), thought to be a molecular and cellular basis for cerebellar l...","C00219 (Arachidonate) C00533 (Nitric oxide) C00641 (1,2-Diacyl-sn-glycerol) C01245 (D-myo-Inositol 1...",Parallel fiber PLC AMPAR RyR PLA2 PLA2 NOS DAG PLC mGluR1 Glutamate PKC cGMP IGF1R CRFR1 DAG Glutama...
hsa04740,Olfactory transduction,Within the compact cilia of the olfactory receptor neurons (ORNs) a cascade of enzymatic activity tr...,"C00575 (3',5'-Cyclic AMP) C00076 (Calcium cation) C00698 (Cl-) C01330 (Sodium cation) C00942 (3',5'-...",OLFACTORY TRANSDUCTION cAMP Golf ACⅢ CNG CaCC Olfactory receptor neuron (ORN) Depolarization ODOR ...
hsa04742,Taste transduction,"Five basic tastes are recognized by humans and most other animals - bitter, sweet, sour, salty and u...",C00076 (Calcium cation) C01330 (Sodium cation) C01330 (Sodium cation) C01451 (Salicin) C00076 (Calci...,TASTE TRANSDUCTION TRPM5 + Type Ⅱ receptor cell Bitter Depolarization T1R2 Salicin PLCβ2 2+ IP3...
hsa04744,Phototransduction,Phototransduction is a biochemical process by which the photoreceptor cells generate electrical sign...,"C00076 (Calcium cation) C01330 (Sodium cation) C00942 (3',5'-Cyclic GMP) C00144 (GMP) C00942 (3',5'-...",PHOTOTRANSDUCTION DARK LIGHT Disc membrane Disc membrane CNG CNG Hyperpolarization (Light response)...
hsa04750,Inflammatory mediator regulation of TRP channels,The TRP channels that exhibit a unique response to temperature have been given the name thermo-TRPs....,C00002 (ATP) C00780 (Serotonin) C00388 (Histamine) C00584 (Prostaglandin E2) C00076 (Calcium cation)...,Mast cell INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS P2YR B1/B2 5HTR TRPV1 ASIC IL1R TrkA I...
hsa04810,Regulation of actin cytoskeleton,,"C04637 (1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate), C11554 (1-Phosphatidyl-1D-myo-inositol 3,4-...",PIP PIP PIP Acetylcholine TMSB4 Arp2/3 PFN WAVE2 WAVE1 HSPC300 APC NWASP Asef Abi2 Nap125 PIR121 IRS...
hsa04814,Motor proteins,,"1778 (DYNC1H1) 79659 (DYNC2H1) 1780 (DYNC1I1), 1781 (DYNC1I2) 1783 (DYNC1LI2), 51143 (DYNC1LI1) 5162...",MOTOR PROTEINS Dynein Dynein Dynactin KIF5 Myosin Cargo Myosin V Myosin II Microtubule Actin fillame...
hsa04910,Insulin signaling pathway,Insulin binding to its receptor results in the tyrosine phosphorylation of insulin receptor substrat...,"C00369 (Starch) C00575 (3',5'-Cyclic AMP) C00031 (D-Glucose) C05981 (Phosphatidylinositol-3,4,5-tris...",TSC1 SKIP SHIP2 IKK JNK LAR PTP1B SOCS Elk1 MNK ERK1/2 FAS AMPK Glycogen cAMP INS Glucose HSL PP1 PY...
